Product,Name,Rating,CommentHead,Comment
redmi7a,kailash  sahoo,4,Nice product,Nice...
redmi7a,Prateek A,4,Good choice,"Hi Guys,  I am writing this review though I know thousands of us has already reviewed this phone and it's already a superstar in the category.  so only sharing My views and experience with the phone. I am actively using the phone since last 16 days and here is the experience. so lets start:1. Main USP of phone is it's Camera and yes MI note 7 pro is really a PRO in this area.  see the pics attached if you notice there are two pics of Buddha,  let me tell you there was no light difference w..."
redmi7a,Krunal Gohil,5,Excellent,superb clearly image nice one
redmi7a,Flipkart Customer,4,Good choice,Superb
redmi7a,Flipkart Customer,5,Good quality product,"This Phone is Awesome , Camera is so Good, Front & Back Camera both are too Good , Picture Quality and Colour Awesome."
redmi7a,Kashish Parmar,5,Terrific,best phone note 7 pro thxq flipcard
redmi7a,Sakshi Malhotra,5,Excellent,5 Star for so many Features... Premium Looks (Red)
redmi7a,Sk. Khurkhuriya,5,Highly recommended,nice device
redmi7a,Pijus Das,4,Good quality product,Also good
redmi7a,Flipkart Customer,5,Classy product,nice
redmi7a,No Name,No Rating,No Comment Heading,nice
